dispnum,incidnum,year,month,day,mid21location,midlocmeasuringpoint,latitude,longitude,precision,onset,war,war_name
358,358001,1975,10,20,NEFA Twang Tract,"tawang, india",27.67306,92.16472,3,1,0,
360,360001,1975,10,-9,Belize-Guatemalan border,"Barranco, Belize",16,-88.91666,4,1,0,
361,361001,1976,2,3,"Afars and Issas, Djibouti","Djibouti, Djibouti",11.595,43.14806,1,1,0,
362,362001,1976,6,19,.,PRK-KOR border,38.27,127.3,4,1,0,
363,363001,1976,2,4,Falkland Islands,Falkland Islands,-51.75,-59,5,1,0,
364,364001,1974,3,14,Xinjiang Province,"Xinjiang, China",35.61278,111.2178,3,1,0,
365,365001,1976,9,6,"Hokkaido, Japan Kurile Islands","Hokkaido, Japan",44,143,3,1,0,
601,601001,1972,1,20,Peruvian coastal waters,Lima,-12.05,-77.5,4,1,0,
602,602001,1972,11,12,Pacific Ocean off Equador,Manta,-0.95,-80.73333,4,1,0,
603,603001,1946,8,2,.,tehran,35.91,50.77,5,1,0,
604,604001,1949,7,-9,Aden protectorate,Aden directorate,12.8,45.03333,3,1,0,
605,605001,1956,7,30,"Wa State, Burma","kengtang, MY",21.49972,99.65305,3,1,0,
606,606001,1956,10,20,Hungary,Budapest,47.5,19.08333,5,1,1,Hungarian Revolution
607,607001,1957,4,13,.,SYR-JOR border,32.38,37.33,4,1,0,
608,608001,1958,11,7,.,berlin,52.52,13.38,1,1,0,
610,610001,1962,10,22,Yemen/Saudi Arabia border,"Najran, Saudi Arabia",17.50556,44.18417,4,1,0,
611,611001,1964,2,23,.,md point of VIE coast,12.84,109.37,4,1,1,Vietnam War
619,619001,1975,11,15,High Seas-North Sea near Iceland,Rockall Rise,59,-14,5,1,0,
623,623001,1965,7,-9,Sikkim,"Sikkim, India",27.75,88.5,3,1,0,
624,624001,1963,4,-9,French Guyana,Cayenne,4.933333,-52.33333,5,1,0,
633,633001,1949,10,1,.,taiwan straits,24.61,119.9,5,1,0,
634,634001,1949,10,1,Beijing,Beijing,39.92889,116.3883,1,1,0,
1002,1002001,1963,4,26,.,md point of dom coast,18.67,-68.26,4,1,0,
1006,1006001,1950,4,20,Jerusalem,"Jerusalem, Israel",31.75,35,1,1,0,
1008,1008001,1955,10,17,.,ISR-JOR border,31.15,35.687,4,1,0,
1013,1013001,1957,1,12,Gulf of Aqaba,"Gulf of Aqaba, Saudia Arabia",29,34.66667,3,1,0,
1017,1017001,1965,10,28,Lebanon,Beirut,33.87194,35.50972,5,1,0,
1018,1018001,1962,6,14,Jerusalem,"Jerusalem, Israel",31.75,35,1,1,0,
1019,1019001,1963,8,25,Jerusalem,"Jerusalem, Israel",31.75,35,1,1,0,
1020,1020001,1964,1,24,"Border area, Jerusalem","Jerusalem, Israel",31.75,35,2,1,0,
1021,1021001,1960,4,15,West Irian,"Irian Jaya, Indonesia",-5,138,3,1,0,
1022,1022001,1961,12,18,North New Guenoa,"Wewak, PNG",-3.55,143.6333,3,1,0,
1023,1023001,1951,8,16,West Irian,"Irian Jaya, Indonesia",5,138,3,1,0,
1024,1024001,1957,11,7,West Irian,"Irian Jaya, Indonesia",-5,138,3,1,0,
1035,1035001,1966,12,16,.,ISR-SYR border,32.945,35.84,4,1,1,Six Day War
1039,1039001,1970,6,11,.,SYR-JOR border,32.38,37.33,4,1,0,
1042,1042001,1948,6,-9,Area of Hebron and Jerusalem,"Jerusalem, Israel",31.75,35,2,1,0,
1043,1043001,1973,2,21,Sinai peninsula,"Sinai, Egypt",29.5,34,3,1,0,
1046,1046001,1971,10,18,.,ISR-SYR border,32.945,35.84,4,1,1,Yom Kippur War
1051,1051001,1968,5,12,Israel/Lebanon border,"Me'ona, Israel",33.01667,35.26667,4,1,0,
1061,1061001,1974,4,12,.,ISR-LEB border,32.93,35.519,4,1,0,
1062,1062001,1953,8,28,Trieste,"Trieste, Italy",45.64861,13.78,1,1,0,
1067,1067001,1967,7,15,"Border area, Jerusalem","Jerusalem, Israel",31.75,35,2,1,0,
1068,1068001,1970,8,15,Israel,"Jerusalem, Israel",31.75,35,5,1,0,
1069,1069001,1968,7,23,Algiers,"Algiers, Algeria",36.76305,3.050555,1,1,0,
1070,1070001,1963,2,11,.,mid pt borneo border,1.45,114.47,4,1,0,
1072,1072001,1968,4,4,Sabah,"Sabah, Iraq",35.3125,43.36833,1,1,0,
1073,1073001,1954,8,7,Goa,"Goa, India",15.58333,74,1,1,0,
1074,1074001,1961,8,17,Goa,"Goa, India",15.58333,74,1,1,0,
1077,1077001,1947,9,22,Junagadh,"Junagadh, India",21.51667,70.46667,1,1,0,
1079,1079001,1951,3,13,Kashmir,Kashmir,34.56667,74.75,3,1,0,
1081,1081001,1971,7,20,Jordan-Syria border,"Imtan, Syria",32.4,36.81667,4,1,0,
1083,1083001,1962,7,2,Zegdou and Tindouf,"Tindouf, Algeria",27.67417,-8.147778,1,1,0,
1084,1084001,1963,9,30,Algerian-Moroccan border,"Figuig, Morocco",32.11666,-1.226944,4,1,0,
1091,1091001,1958,2,1,"Lake Nuba, Wali Halfa","Nuba, Sudan",15.06667,30.45,3,1,0,
1097,1097001,1952,7,-9,Alto Palena,"Alto Palena, Chile",-43.61666,-71.8,1,1,0,
1098,1098001,1955,8,4,Alto Palena,"Alto Palena, Chile",-43.61666,-71.8,1,1,0,
1099,1099001,1958,4,-9,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1,0,
1100,1100001,1959,8,16,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1,0,
1101,1101001,1960,3,24,Alto Palena,"Alto Palena, Chile",-43.61666,-71.8,1,1,0,
1102,1102001,1963,9,17,Beagle Channel 1,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1,0,
1104,1104001,1972,5,6,Oman/South Yemen border,"Habarut, Yemen",17.3,52.73333,4,1,0,
1105,1105001,1973,11,18,Oman/South Yemen border,"Habarut, Yemen",17.3,52.73333,4,1,0,
1106,1106001,1975,11,-9,South Yemen/Oman border area,"Habarut, Yemen",17.3,52.73333,4,1,0,
1107,1107001,1971,10,25,Yemen/South Yemen Border,"San'a', Yemen",15.5,44.25,4,1,0,
1108,1108001,1962,10,1,.,YEM-SAU border,17.23,47.46,4,1,0,
1109,1109001,1966,5,1,.,YEM-SAU border,17.23,47.46,4,1,0,
1110,1110001,1969,11,26,near al Wadeish,saudi-yemen border,16.8125,47.49667,2,1,0,
1112,1112001,1949,9,25,Dominican-Haitian border,"Banica, DR",19.08333,-71.7,4,1,0,
1114,1114001,1959,6,23,.,.,-9999,-9999,7,1,0,
1115,1115001,1967,5,8,Venezuelan Coast,Bonaire Basin,11.41667,-67.5,4,1,0,
1117,1117001,1957,11,23,Spanish Sahara,"Tan Tan, Morocco",28.43361,-11.10556,5,1,0,
1118,1118001,1972,1,1,Off Moroccan coast,Rabat,34.05,-6.766667,4,1,0,
1119,1119001,1973,1,1,Coast of Morocco,Tangiers,35.78472,-5.812778,4,1,0,
1123,1123001,1962,7,9,Iraq-Turkey border,"Cukurca, Turkey",41.06667,32.68333,4,1,0,
1124,1124001,1958,12,29,.,GUA-MEX border,16.23,-90.27,4,1,0,
1134,1134001,1974,8,13,"Kordestan, Qasr-e-sharin, Qala Diza","Kordestan, Iran",37,44,3,1,0,
1135,1135001,1971,11,30,Persian Gulf,Persian Gulf,27,51,5,1,0,
1136,1136001,1969,4,6,Shatt-al-Arab,Shatt-al-Arab (Iran/Iraq),29.94972,48.57306,3,1,0,
1138,1138001,1959,9,22,Shatt-al-Arab,Shatt-al-Arab (Iran/Iraq),29.94972,48.57306,3,1,0,
1155,1155001,1951,8,11,Zamora-Santiago zone,cordillera del condor (EC-PER),-3.51,-78.3175,3,1,0,
1156,1156001,1954,1,24,Rio Putumayo,"r. Putumayo, Colombia",0.7233334,-75.81,4,1,0,
1157,1157001,1955,8,-9,Zamora-Santiago zone,cordillera del condor (EC-PER),-3.51,-78.3175,3,1,0,
1158,1158001,1971,1,11,Pacific Ocean off Ecuador,"Salinas, Ecuador",-3.066667,-80.26667,4,1,0,
1166,1166001,1966,10,14,Ankoko Island,"Ankoko Island, Venezuela",6.716667,-61.13334,3,1,0,
1172,1172001,1969,1,28,Timoteo Dominguez Key,"Timoteo Dominguez Key, Uruguay",-34.17611,-58.22306,1,1,0,
1173,1173001,1957,4,19,Nicaragua-Honduran border,"Jalapa, Nicaragua",13.91667,-86.13333,4,1,0,
1187,1187001,1962,3,22,Lauca River,"Lauca River, Chile",-19.16667,-68.16666,4,1,0,
1189,1189001,1975,11,-9,Brazil-Guyana border,"Raad, Guyana",2.616667,-59.9,4,1,0,
1190,1190001,1976,7,13,Honduran-Salvadoran border,"Sensuntepeque, El Salvador",13.86667,-88.63333,4,1,0,
1191,1191001,1976,9,11,Chile Peru border,"Tacna, Peru",-18.00556,-70.24834,4,1,0,
1193,1193001,1954,4,-9,.,md pt of NIC-COS border,11.007,-84.56,4,1,0,
1200,1200001,1973,2,10,Islamabad,"Islamabad, Pakistan",33.7,73.16666,1,1,0,
1206,1206001,1969,6,24,Salvadoran-Honduras border,"La Virtud, Honduras",14.05,-88.7,4,1,1,Football War
1208,1208001,1959,12,26,Apipe Grande Island in Parani River,"Apipe Island, Argentina",-27.5,-56.9,3,1,0,
1209,1209001,1962,5,15,Pilcomayo river,"Pilcomayo, Bolivia",-19.38333,-65.88333,4,1,0,
1213,1213001,1964,3,19,.,VIE-CAM,11.96,106.7,4,1,0,
1214,1214001,1956,2,-9,"Islands near Camb, S Vietnam border","Kampot, Cambodia",12.11667,104.9667,4,1,0,
1215,1215001,1958,5,30,Parrots Beak,"Parrots Beak, cambodia",10.92583,106.1011,3,1,0,
1216,1216001,1965,12,26,.,VIE-CAM,11.96,106.7,4,1,0,
1217,1217001,1967,2,5,.,VIE-CAM,11.96,106.7,4,1,0,
1225,1225001,1953,11,-9,Preah Vihear,"Preah Vihear, Cambodia",14.4,104.6833,1,1,0,
1226,1226001,1958,8,5,Preah Vihear,"Preah Vihear, Cambodia",14.4,104.6833,1,1,0,
1227,1227001,1961,6,18,Preah Vihear,"Preah Vihear, Cambodia",14.4,104.6833,1,1,0,
1228,1228001,1962,6,15,Preah Vihear,"Preah Vihear, Cambodia",14.4,104.6833,1,1,0,
1229,1229001,1964,4,14,Preah Vihear,"Preah Vihear, Cambodia",14.4,104.6833,1,1,0,
1230,1230001,1967,6,22,Preah Vihear,"Preah Vihear, Cambodia",14.4,104.6833,1,1,0,
1231,1231001,1975,5,29,"Border, Gulf of Thailand",Gulf of Thailand,10,102,3,1,0,
1232,1232001,1976,8,2,.,CAM-THI,14.18,103.12,4,1,0,
1238,1238001,1947,9,26,Kashmir,Kashmir,34.56667,74.75,3,1,1,First Kashmir War
1278,1278001,1958,1,-9,Aegean See,Aegean See,39,25,5,1,0,
1279,1279001,1963,12,25,Cyprus,Nicosia,35.16667,33.36666,5,1,0,
1280,1280001,1967,11,16,.,cyprus,35.06,33.41,5,1,0,
1284,1284001,1948,8,1,Greece-Albania border,"Leskovik, Albania",40.14917,20.5975,4,1,0,
1285,1285001,1949,8,8,Southern Albania,Gjirokaster,40.07278,20.13694,3,1,0,
1286,1286001,1949,8,13,.,yug-rom border,44.96,21.74,4,1,0,
1289,1289001,1976,6,3,Aegean Sea,Aegean Sea,39,25,5,1,0,
1290,1290001,1975,1,8,Cyprus,Nicosia,35.16667,33.36666,5,1,0,
1292,1292001,1974,3,29,Aegean Sea,Aegean Sea,39,25,5,1,0,
1293,1293001,1974,7,15,.,cyprus,35.06,33.41,5,1,1,Turco-Cypriot War
1295,1295001,1952,7,26,"Greek Islands, Alpha and Gamma","Athens, Greece",37.98333,23.73333,3,1,0,
1300,1300001,1955,5,7,"Nekowal,Kashmir",Kashmir,34.8,72.15,3,1,0,
1301,1301001,1956,2,17,"Rann of Kutch, Chhad Bet Island","Rann of Kachchh, India",24.04583,69.57972,3,1,0,
1302,1302001,1958,3,11,Assam,"Assam, India",26,93,3,1,0,
1303,1303001,1960,9,23,Northwest Frontier Province,Northwest Frontier Province,34.5,72,3,1,0,
1304,1304001,1961,5,19,Northwest Frontier Province,Northwest Frontier Province,34.5,72,3,1,0,
1305,1305001,1955,3,29,Northwest Frontier Province,Northwest Frontier Province,34.5,72,3,1,0,
1306,1306001,1950,6,17,Northwest Frontier Province,"Northwest Frontier Province, Pakistan",34.5,72,3,1,0,
1307,1307001,1949,3,-9,Northwest Frontier Province,"Northwest Frontier Province, Pakistan",34.5,72,3,1,0,
1308,1308001,1950,2,23,Kashmir,Kashmir,34.56667,74.75,3,1,0,
1309,1309001,1961,6,8,Kashmir,Kashmir,25.7,58.88334,3,1,0,
1310,1310001,1962,9,18,"Tripura, assam","Tripura, India",24,92,3,1,0,
1312,1312001,1965,3,5,Jammu and Kashmir,"Jammu, Pakistan",30.11667,73.85,3,1,1,Second Kashmir War
1315,1315001,1965,9,23,Kashmir,"Kashmir, pakistan",31.34222,74.36528,3,1,0,
1316,1316001,1964,8,-9,Tripura,"Tripura, India",24,92,3,1,0,
1317,1317001,1963,7,-9,"Dumabari, Lachar-Sylhet(Tripura)","Tripura, India",24,92,3,1,0,
1319,1319001,1965,2,15,Zairean Uganda border,"Gety, DRC",1.216667,30.2,4,1,0,
1321,1321001,1960,7,5,Congo-Zaire border,"Kinshasa, DRC",-4.329722,15.315,4,1,0,
1322,1322001,1966,8,8,"Quaddai District, Chad-Sudan border","Tundubai, Sudan",14.8,22.76667,3,1,0,
1323,1323001,1969,1,1,CAR-Chadian border,"Gondey, Chad",9.15,19.31667,4,1,0,
1324,1324001,1966,10,17,.,.,-9999,-9999,7,1,0,
1325,1325001,1969,7,10,Zaire/Congo border,"Kinshasa, DRC",-4.329722,15.315,4,1,0,
1326,1326001,1969,6,9,Cabinda (Angola),Cabinda,-5,12.5,1,1,0,
1328,1328001,1965,1,-9,congo-zaire border,mid pt on border,-2.058056,16.33945,4,1,0,
1329,1329001,1963,8,15,congo-zaire border,mid pt on border,-2.058056,16.33945,4,1,0,
1331,1331001,1975,10,27,.,mor-alg border by med sea,35.04,-1.99,4,1,0,
1332,1332001,1967,11,1,Angolan-Katangese border,"Luau, Angola",-10.7,22.23333,4,1,0,
1333,1333001,1976,8,6,botswana-zimbabwe border,"Maitengwe, Botswana",-20,27.16667,4,1,0,
1334,1334001,1975,10,11,Botswana,Gaborone,-24.64639,25.91195,5,1,0,
1335,1335001,1969,3,-9,Botswana-Rhodesia border,"Maitengwe, Botswana",-20,27.16667,4,1,0,
1337,1337001,1976,9,9,Aouzou Strip,"Aozou, Chad",21.81667,17.41667,3,1,0,
1339,1339001,1976,11,16,gab-cam Border,md pt on border,2.168889,11.9725,4,1,0,
1340,1340001,1972,6,-9,Mbanie and Locotiers islands,"owendo, gabon",0.3213889,9.537222,3,1,0,
1342,1342001,1973,5,4,Mozambican-Malawian border,"Milange, Mozambique",-16.09861,35.77,4,1,0,
1343,1343001,1967,10,9,Kashmir,"Kashmir, pakistan",31.34222,74.36528,3,1,0,
1344,1344001,1953,2,3,Waters between Japan and S Korea,"Tsushima, Japan",34,129.5,4,1,0,
1345,1345001,1954,7,30,Takeshima Islands,"Takeshima, Japan",35.3,136.1833,3,1,0,
1346,1346001,1955,8,3,waters between s.Korea Japan,"Tsushima, Japan",34,129.5,4,1,0,
1347,1347001,1958,1,1,Waters between Japan and S Korea,"Tsushima, Japan",34,129.5,4,1,0,
1349,1349001,1961,1,13,Sea of Japan,Sea of Japan,43.5,135.75,5,1,0,
1350,1350001,1958,12,5,Laos,"Viangchan, Laos",17.96667,102.6,5,1,0,
1351,1351001,1966,3,16,.,mid pt on IVO-GUI border,8.684,-7.532,4,1,0,
1352,1352001,1967,2,17,Ivorian-Guinean coastal waters,"Sassandra, Ivory Coast",7.7,-7.066667,4,1,0,
1353,1353001,1962,1,6,.,mid pt on LAO-VIE border,18.49,105.26,4,1,0,
1360,1360001,1969,3,28,Eastern Cambodia,"Chbar, Cambodia",12.76667,107.1667,3,1,0,
1361,1361001,1964,1,22,burundi-rwanda border,mid pt on border,-2.575556,29.96917,4,1,0,
1362,1362001,1973,3,15,.,meeting pt of RWA-BUI-TAZ border,-2.468,30.667,2,1,0,
1363,1363001,1960,12,16,.,LAO northern border,21.289,101.846,4,1,0,
1364,1364001,1972,4,14,Tanzanian-Mozambican border,"Chamba, Tanzania",-11.58333,36.96667,4,1,0,
1366,1366001,1965,5,15,Kenyan-Ugandan border,"Moroto, Uganda",2.533333,34.65,4,1,0,
1367,1367001,1973,2,13,Ugandan-Kenyan border,"Kongelai, Kenya",1.466667,35.01667,4,1,0,
1368,1368001,1976,2,18,Ugandan-Kenyan border,"Moroto, Uganda",2.533333,34.65,4,1,0,
1369,1369001,1959,8,29,Burma near border,Rangoon,16.78333,96.16666,4,1,0,
1374,1374001,1950,1,-9,Shan State of Kengtung,Kentung,21.28333,99.6,3,1,0,
1376,1376001,1975,7,7,Thai/Laos boader,Viangchan,17.96667,102.6,4,1,0,
1377,1377001,1976,7,5,"Entebbe airport, Uganda","Entebbe Airport, Uganda",0.0575,32.46722,1,1,0,
1378,1378001,1967,3,1,.,meeting pt of KEN-ETH-SOM,3.841,41.971,2,1,0,
1379,1379001,1964,8,9,.,PRK-KOR border,38.27,127.3,4,1,0,
1380,1380001,1971,1,27,Kagera Salient,"Kagera River, Tanzania",-0.95,31.78333,4,1,0,
1381,1381001,1972,9,18,.,md pt TAZ-UGA border,-1.121,32.144,4,1,0,
1382,1382001,1974,7,14,.,md pt TAZ-UGA border,-1.121,32.144,4,1,0,
1384,1384001,1974,7,10,Senegalese-Gambian border,"Banjul, Gambia",13.45306,-16.5775,4,1,0,
1385,1385001,1969,11,25,.,md pt of guinea-bissau-sen border,12.654,-14.933,4,1,0,
1386,1386001,1973,1,20,Guinea-Port Guinea border,"Cacine, Guinea-Bissau",11.11667,-15.01667,4,1,0,
1387,1387001,1961,12,-9,Guinean-Senegalese border,"Wassadou, Senegal",13.23333,-13.81667,4,1,0,
1388,1388001,1963,4,8,Senegal-Port.Guinea,"Dalaba, Senegal",13.33333,-11.78333,4,1,0,
1389,1389001,1972,5,26,Senegal-Port.Guinea border,"Koukany, Senegal",12.93333,-14.08333,4,1,0,
1390,1390001,1972,12,24,Zambian-Mozambican border,"Nyanje, Zambia",-14.4,31.8,4,1,0,
1391,1391001,1971,3,3,Zambian-Mozambican border,"Nyanje, Zambia",-14.4,31.8,4,1,0,
1392,1392001,1966,5,18,Zambia/Angola border,"Mussuma, Angola",-14.2,21.91667,4,1,0,
1396,1396001,1974,10,1,.,zim-zam border,-17.006,27.794,4,1,0,
1397,1397001,1973,1,9,.,zim-zam border,-17.006,27.794,4,1,0,
1398,1398001,1971,10,4,Caprivi strip,"Caprivi Strip, Namibia",-18,23,3,1,0,
1399,1399001,1969,3,23,Caprivi Strip,"Caprivi Strip, Namibia",-18,23,3,1,0,
1400,1400001,1968,4,6,Zambia,Lusaka,-15.41667,28.28333,5,1,0,
1401,1401001,1966,10,14,Caprivi Strip,"Caprivi Strip, Namibia",-18,23,3,1,0,
1403,1403001,1968,5,14,Sudan/Uganda border,"Nimule, Sudan",3.6,32.05,4,1,0,
1404,1404001,1971,12,15,Sudan/Uganda border,"Nimule, Uganda",3.6,32.05,4,1,0,
1406,1406001,1969,3,1,Santa Isabel and Bata,"bata, eq guinea",2.025278,9.825,1,1,0,
1407,1407001,1963,12,2,Beninois-Nigerian border,mid pt on border,9.0475,2.889444,4,1,0,
1408,1408001,1966,10,29,Ghana and Guinea,"Accra, Ghana",5.55,-0.2166667,5,1,0,
1409,1409001,1966,3,10,from guinea to Ghana,"Yamoussoukro, Ivory Coast",6.816667,-5.283333,4,1,0,
1410,1410001,1962,7,23,Mauritanian-Malian border,"Nioro, Mali",15.23333,-9.583333,4,1,0,
1411,1411001,1974,11,-9,Malian-Burkinabe border,"Kiri, Mali",13.53333,-4.1,3,1,0,
1415,1415001,1975,4,7,"Luanda, Angola","Luanda, Angola",-8.838333,13.23444,1,1,0,
1417,1417001,1961,11,-9,Togolese-Ghanan border,"Lome, Togo",6.131945,1.222778,4,1,0,
1418,1418001,1962,12,7,togo-ghana Border,"Jasikan, Ghana",7.4,0.4666667,4,1,0,
1419,1419001,1965,1,16,Togolese Ghanian border,"Jasikan, Ghana",7.4,0.4666667,4,1,0,
1421,1421001,1961,1,20,Ogaden,"Ogaden, Ethiopia",8,44,2,1,0,
1422,1422001,1967,7,2,Ethiopean-Sudanese frontier,"Famaka, Sudan",11.3,34.73333,4,1,0,
1423,1423001,1960,8,14,"Aiscia, Ogaden","Ogaden, Ethiopia",8,44,5,1,0,
1425,1425001,1963,11,16,Ogaden,"Ogaden, Ethiopia",8,44,2,1,0,
1426,1426001,1963,12,29,Northwest Frontier Province,"NWFP, Pakistan",34.5,72,3,1,0,
1427,1427001,1974,5,26,Ogaden,"Ogaden, Ethiopia",8,44,2,1,0,
1428,1428001,1975,12,14,Ogaden,"Ogaden, Ethiopia",8,44,2,1,0,
1430,1430001,1975,10,9,.,moz-zim border,-19.18,32.93,4,1,0,
1435,1435001,1975,4,18,Cambodia,Phnom Penh,11.55,104.85,5,1,1,Vietnamese-Cambodian War
1441,1441001,1975,8,-9,.,.,-9999,-9999,7,1,0,
1446,1446001,1974,2,3,Northwest Frontier Province,"NWFP, Pakistan",34.5,72,3,1,0,
1447,1447001,1971,4,7,"Bangladesh, Kashmir",Dhaka,23.72305,9.408611,5,1,1,Bangladesh War
1448,1448001,1954,5,2,.,taiwan straits,24.61,119.9,5,1,0,
1449,1449001,1969,6,16,nepal-india border,mid pt of border,27.37056,84.46972,4,1,0,
1450,1450001,1975,8,-9,East TImor,"Baukau, Timor",-8.471111,126.4583,3,1,0,
1452,1452001,1956,6,8,.,.,-9999,-9999,7,1,0,
1462,1462001,1968,10,26,Susta region,"Susta, Latvia",56.46667,21.33333,3,1,0,
1463,1463001,1965,12,1,nepal-india border,mid pt of border,27.37056,84.46972,4,1,0,
1466,1466001,1962,4,-9,.,IND-NEP border,27.51,84.29,4,1,0,
1467,1467001,1964,3,4,Kashmir,Kashmir,31.34222,74.36528,3,1,0,
1469,1469001,1976,4,19,bang-india border,mid pt of border,25.11722,90.5825,4,1,0,
1472,1472001,1975,2,15,.,PRK-KOR border,38.27,127.3,4,1,0,
1480,1480001,1967,6,26,.,ISR-EGY border,30.363,34.706,4,1,1,War of Attrition
1481,1481001,1974,11,24,North Sea off Iceland,"Hvalnes, Iceland",64.4,-14.55,4,1,0,
1603,1603001,1949,5,19,Syria Lebanon border,"Az Zabadani, Syria",33.71667,36.08333,4,1,0,
1604,1604001,1960,5,3,Netherlands New Guinea,Papua New Guinea,-6,147,5,1,0,
1605,1605001,1970,3,23,Preah Vihear,"Preah Vihear, Cambodia",14.4,104.6833,1,1,0,
1608,1608001,1965,11,6,Alto Palena,"Alto Palena, Chile",-43.61666,-71.8,1,1,0,
1609,1609001,1967,8,18,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1,0,
1610,1610001,1968,6,-9,Preah Vihear,"Preah Vihear, Cambodia",14.4,104.6833,1,1,0,
1611,1611001,1970,1,3,.,.,-9999,-9999,7,1,0,
1612,1612001,1972,12,21,.,md point of IRQ-KUW border,29.7,47.24,4,1,0,
1613,1613001,1975,3,7,Iraq-Kuwait border,"Safwan, Iraq",30.1125,47.71556,4,1,0,
1617,1617001,1970,3,13,Eastern Cambodia,"Chbar, Cambodia",12.76667,107.1667,3,1,1,Cambodian entry into Vietnam War
1698,1698001,1947,2,15,.,md pt of CHI-ARG border,-36.78,-70.91,4,1,0,
1701,1701001,1952,6,16,Baltic Sea near Sweden,Gotland,57.5,18.55,4,1,0,
1702,1702001,1952,8,-9,Ecuadorian coastal waters,Manta,-0.9333333,-80.7,4,1,0,
1703,1703001,1952,6,30,.,md pt of YUG-HUN border,45.778,18.227,4,1,0,
1705,1705001,1954,9,7,Ecuadorian coastal waters,Manta,-0.9333333,-80.7,4,1,0,
1706,1706001,1957,5,31,Algerian-Tunisian border,"Bou Aroua, Algeria",36.58333,2.3,4,1,0,
1707,1707001,1958,7,2,"Aksai Chin, Ladakh Region","Ladakh, India",34.5,77.5,3,1,0,
1708,1708001,1959,5,21,China/Burma border,"Luxi, China",24.51667,103.7667,4,1,0,
1709,1709001,1959,12,28,off Korean coast,"Inchon, S.Korea",37.45361,126.7317,4,1,0,
1710,1710001,1960,1,10,Waters off Inchon,"Inchon, S.Korea",37.45361,126.7317,3,1,0,
1711,1711001,1960,3,-9,Algerian-Tunisian border,"Bou Aroua, Algeria",36.58333,2.3,4,1,0,
